id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
SEQ_4675__M_LMGN;None;['SEQ_4675__M_LMGN'];['SEQ_4675__M_LMGN'];54.63349;46.28536;RU;None;{'nuts_id_1': 'RU', 'nuts_id_2': 'RU', 'nuts_id_3': 'RU'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
N_441_M_LMGN;None;['N_441_M_LMGN'];['N_441_M_LMGN'];54.733909999999995;46.10785;RU;None;{'nuts_id_1': 'RU', 'nuts_id_2': 'RU', 'nuts_id_3': 'RU'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
IGU_N_123;None;['IGU_N_123'];['IGU_N_123'];44.711000000000006;43.7566;RU;None;{'nuts_id_1': 'RU', 'nuts_id_2': 'RU', 'nuts_id_3': 'RU'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
SEQ_4701__M_LMGN;None;['SEQ_4701__M_LMGN'];['SEQ_4701__M_LMGN'];41.8843;44.36225;GE;None;{'nuts_id_1': 'GE', 'nuts_id_2': 'GE', 'nuts_id_3': 'GE'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
N_363_M_LMGN;None;['N_363_M_LMGN'];['N_363_M_LMGN'];33.25527;34.57178;XX;None;{'nuts_id_1': 'XX', 'nuts_id_2': 'XX', 'nuts_id_3': 'XX'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
IGU_N_152;None;['IGU_N_152'];['IGU_N_152'];47.17;43.9;RU;None;{'nuts_id_1': 'RU', 'nuts_id_2': 'RU', 'nuts_id_3': 'RU'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
NutsCons_58;None;['NutsCons_58'];['NutsCons_58'];55.18676800000001;24.214971;LT;None;{'nuts_id_1': 'LT0', 'nuts_id_2': 'LT02', 'nuts_id_3': 'LT022'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
N_465_M_LMGN;None;['N_465_M_LMGN'];['N_465_M_LMGN'];52.95264;42.96201;RU;None;{'nuts_id_1': 'RU', 'nuts_id_2': 'RU', 'nuts_id_3': 'RU'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
N_466_M_LMGN;None;['N_466_M_LMGN'];['N_466_M_LMGN'];54.20158000000001;45.00718;RU;None;{'nuts_id_1': 'RU', 'nuts_id_2': 'RU', 'nuts_id_3': 'RU'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
N_467_M_LMGN;None;['N_467_M_LMGN'];['N_467_M_LMGN'];55.83919;40.66957;RU;None;{'nuts_id_1': 'RU', 'nuts_id_2': 'RU', 'nuts_id_3': 'RU'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
